,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,federal_agency,ev_network_ids
18,public,24 hours daily,,,2023-05-14,,ELEC,Public,152952,2020-01-23,,E,,616 W Washington Blvd,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.0345439,-118.2726581,Los Angeles,,,CA,616 W Washington Blvd,90015,US,,,,,,,,,,,,['J1772'],,,1.0,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,{'posts': ['AUI-10220']}
19,public,24 hours daily,,,2023-05-14,,ELEC,Public,152967,2020-01-23,,E,,18235 South Figueroa St,888-356-8911,2023-05-14T01:04:02Z,,GPS,33.865573,-118.281663,Los Angeles,,,CA,18235 South Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,{'posts': ['AUI-10279']}
20,public,24 hours daily,,,2023-05-14,,ELEC,Public,152972,2020-01-23,,E,,145 E Olympic Blvd,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.040228,-118.256492,Los Angeles,,,CA,145 E Olympic Blvd,90015,US,,,,,,,,,,,,['J1772'],,,1.0,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,{'posts': ['AUI-10201']}
21,public,24 hours daily,,,2023-05-14,,ELEC,Public,158559,2020-06-06,,E,,17035 BURBANK BLVD,855-900-7584,2023-05-14T00:38:12Z,,GPS,34.1724,-118.5044,Los Angeles,,,CA,17035 BURBANK BLVD,90015,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['1728'], 'posts': ['12230A']}"
22,public,24 hours daily,,,2023-05-14,,ELEC,Public,159005,2020-06-12,,E,,CIRCA COMMERICA STATION 15,888-758-4389,2023-05-14T00:15:54Z,,GPS,34.040691,-118.266791,Los Angeles,,,CA,1200 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL1822451'], 'posts': ['22712861', '22712871']}"
23,public,24 hours daily,,,2023-05-14,,ELEC,Public,159151,2020-06-12,,E,,ONNI COAST SAVI ONNI EV2,888-758-4389,2023-05-14T00:14:29Z,,GPS,34.043523,-118.257331,Los Angeles,,,CA,315 S Hill St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL790531'], 'posts': ['23093201', '23093211']}"
24,public,24 hours daily,,,2023-05-14,,ELEC,Public,159418,2020-06-12,,E,,JOHN HANCOCK 865 S FIG EV 1,888-758-4389,2023-05-14T00:12:03Z,,GPS,34.04703,-118.263853,Los Angeles,,,CA,865 S Figueroa,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL551401'], 'posts': ['23086091', '23086101']}"
25,public,24 hours daily,,,2023-05-14,,ELEC,Public,159426,2020-06-12,,E,,JOHN HANCOCK 865 S FIG EV 3,888-758-4389,2023-05-14T00:11:54Z,,GPS,34.047019,-118.263787,Los Angeles,,,CA,865 S Figueroa,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL537971'], 'posts': ['22396871', '22396881']}"
26,public,24 hours daily,,,2023-05-14,,ELEC,Public,160678,2020-06-12,,E,,ESSEX AVANT STATION 1,888-758-4389,2023-05-14T00:05:17Z,,GPS,34.038735,-118.269079,Los Angeles,,,CA,1420 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL121605'], 'posts': ['9070571', '9070581']}"
27,public,24 hours daily,,,2023-05-14,,ELEC,Public,160693,2020-06-12,,E,,ESSEX AVANT STATION 2,888-758-4389,2023-05-14T00:05:14Z,,GPS,34.038951,-118.268926,Los Angeles,,,CA,1362-1458 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL121065'], 'posts': ['2101311', '2101321']}"
28,public,24 hours daily,,,2023-05-14,,ELEC,Public,160694,2020-06-12,,E,,L.A. LIVE EV CH UNIT 5,888-758-4389,2023-05-14T00:05:14Z,,GPS,34.045028,-118.265755,Los Angeles,,,CA,888 W Olympic Blvd,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL121063'], 'posts': ['17172411', '17172421']}"
29,public,,,,2023-05-14,,ELEC,Public,163982,2020-06-26,,E,,Federal Reserve Bank of Los Angeles,866-816-7584,2023-05-14T01:24:17Z,,GPS,34.043355,-118.259652,Los Angeles,,,CA,950 S. Grand Avenue,90015,US,,,,,,,,,,,,['J1772'],,,2.0,EV Connect,http://evconnect.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['7be46c21-cf33-49d1-b850-1ef1e64791b9'], 'posts': ['6334036a769d34776391fba0', '6334036a769d34776391fba1']}"
30,public,24 hours daily,,,2023-05-14,,ELEC,Public,165826,2020-09-02,,E,,HOPE HOPE FLOWER EV4,888-758-4389,2023-05-14T00:19:29Z,,GPS,34.040612,-118.264686,Los Angeles,,,CA,1201 S Hope St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2101161'], 'posts': ['2505071']}"
31,public,24 hours daily,,,2023-05-14,,ELEC,Public,167184,2020-09-30,,E,,932 S Flower St,855-900-7584,2023-05-14T00:38:06Z,,GPS,34.045146,-118.261928,Los Angeles,,,CA,932 S Flower St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['1217'], 'posts': ['12534A']}"
32,public,24 hours daily,,,2023-05-14,,ELEC,Public,171324,2021-01-15,,E,,1231 S Hill St,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.038332,-118.261672,Los Angeles,,,CA,1231 South Hill Street,90015,US,,,,,,,,,,,,['J1772'],,,1.0,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,{'posts': ['AUI-10263']}
33,public,24 hours daily,,,2023-05-14,,ELEC,Public,176413,2021-01-27,,E,,CIRCA COMMERICA STATION 5,888-758-4389,2023-05-14T00:12:54Z,,GPS,34.040515,-118.266686,Los Angeles,,,CA,1200 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL683191'], 'posts': ['911601', '911611']}"
34,public,24 hours daily,,,2023-05-14,,ELEC,Public,176415,2021-01-27,,E,,CIRCA COMMERICA STATION 12,888-758-4389,2023-05-14T00:12:54Z,,GPS,34.041013,-118.266643,Los Angeles,,,CA,1200 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL683111'], 'posts': ['911511']}"
35,public,24 hours daily,,,2023-05-14,,ELEC,Public,176419,2021-01-27,,E,,CIRCA COMMERICA STATION 4,888-758-4389,2023-05-14T00:12:54Z,,GPS,34.040551,-118.266651,Los Angeles,,,CA,1200 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL682991'], 'posts': ['911351', '911361']}"
36,public,24 hours daily,,,2023-05-14,,ELEC,Public,176422,2021-01-27,,E,,CIRCA COMMERICA STATION 14,888-758-4389,2023-05-14T00:15:54Z,,GPS,34.040652,-118.266847,Los Angeles,,,CA,1200 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL1822431'], 'posts': ['2140191']}"
37,public,24 hours daily,,,2023-05-14,,ELEC,Public,176424,2021-01-27,,E,,CIRCA COMMERICA STATION 13,888-758-4389,2023-05-14T00:12:54Z,,GPS,34.041093,-118.266577,Los Angeles,,,CA,1200 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL683291'], 'posts': ['22932991']}"
38,public,24 hours daily,,,2023-05-14,,ELEC,Public,176692,2021-01-27,,E,,ONNI COAST SAVI ONNI EV1,888-758-4389,2023-05-14T00:14:29Z,,GPS,34.043551,-118.257366,Los Angeles,,,CA,888 S. Olive St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL790501'], 'posts': ['22817561', '22817571']}"
39,public,24 hours daily,,,2023-05-14,,ELEC,Public,177243,2021-01-27,,E,,JOHN HANCOCK 865 S FIG EV 2,888-758-4389,2023-05-14T00:12:03Z,,GPS,34.04705,-118.263833,Los Angeles,,,CA,865 S Figueroa,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL551381'], 'posts': ['22396691', '22396701']}"
40,public,24 hours daily,,,2023-05-14,,ELEC,Public,177244,2021-01-27,,E,,JOHN HANCOCK 865 S FIG EV 4,888-758-4389,2023-05-14T00:11:54Z,,GPS,34.047045,-118.26378,Los Angeles,,,CA,865 S Figueroa,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL538001'], 'posts': ['22396841', '22396851']}"
41,public,24 hours daily,,,2023-05-14,,ELEC,Public,179254,2021-01-27,,E,,L.A. LIVE EV CH UNIT 7,888-758-4389,2023-05-14T00:05:14Z,,GPS,34.044928,-118.265836,Los Angeles,,,CA,888 W Olympic Blvd,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL121039'], 'posts': ['23038771', '23038781']}"
42,public,24 hours daily,,,2023-05-14,,ELEC,Public,179255,2021-01-27,,E,,L.A. LIVE EV CH UNIT 6,888-758-4389,2023-05-14T00:05:14Z,,GPS,34.044988,-118.265778,Los Angeles,,,CA,888 W Olympic Blvd,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL121021'], 'posts': ['17172141', '17172151']}"
43,public,24 hours daily,,,2023-05-14,,ELEC,Public,179256,2021-01-27,,E,,L.A. LIVE EV CH UNIT 8,888-758-4389,2023-05-14T00:05:13Z,,GPS,34.043623,-118.266634,Los Angeles,,,CA,888 W Olympic Blvd,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL120977'], 'posts': ['155287', '155289']}"
44,public,24 hours daily,,,2023-05-14,,ELEC,Public,179257,2021-01-27,,E,,L.A. LIVE EV CH UNIT 1,888-758-4389,2023-05-14T00:05:14Z,,GPS,34.045012,-118.268632,Los Angeles,,,CA,1005 Chick Hearn Ct,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL121023'], 'posts': ['9061321', '9061331']}"
45,public,24 hours daily,,,2023-05-14,,ELEC,Public,179258,2021-01-27,,E,,L.A. LIVE EV CH UNIT 2,888-758-4389,2023-05-14T00:05:14Z,,GPS,34.045017,-118.268563,Los Angeles,,,CA,1005 Chick Hearn Ct,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL121015'], 'posts': ['12536171', '12536181']}"
46,public,24 hours daily,,,2023-05-14,,ELEC,Public,179259,2021-01-27,,E,,L.A. LIVE EV CH UNIT 4,888-758-4389,2023-05-14T00:05:13Z,,GPS,34.044854,-118.268614,Los Angeles,,,CA,1005 Chick Hearn Ct,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL120959'], 'posts': ['281665', '281667']}"
47,public,24 hours daily,,,2023-05-14,,ELEC,Public,181145,2021-01-27,,E,,HOPE HOPE FLOWER EV3,888-758-4389,2023-05-14T00:19:29Z,,GPS,34.040639,-118.264665,Los Angeles,,,CA,1201 S Hope St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2101141'], 'posts': ['2505041']}"
48,public,24 hours daily,,,2023-05-14,,ELEC,Public,181146,2021-01-27,,E,,HOPE HOPE FLOWER EV1,888-758-4389,2023-05-14T00:19:29Z,,GPS,34.040657,-118.264686,Los Angeles,,,CA,1201 S Hope St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2101041'], 'posts': ['22243121']}"
49,public,24 hours daily,,,2023-05-14,,ELEC,Public,181147,2021-01-27,,E,,HOPE HOPE FLOWER EV2,888-758-4389,2023-05-14T00:19:29Z,,GPS,34.040665,-118.264697,Los Angeles,,,CA,1201 S Hope St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2101051'], 'posts': ['22243211']}"
50,public,Mon 2:30pm - 2:45pm; Tue 2:30pm - 2:45pm; Wed 2:30pm - 2:45pm; Thu 2:30pm - 2:45pm; Fri 2:30pm - 2:45pm; Sat 2:30pm - 2:45pm; Sun 2:30pm - 2:45pm,,,2023-05-14,,ELEC,Public,183006,2021-01-27,,E,,CLF SPACE 138,888-758-4389,2023-05-14T00:14:53Z,,GPS,34.040074,-118.267665,Los Angeles,,,CA,1300 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL1693081'], 'posts': ['1984841']}"
51,public,24 hours daily,,,2023-05-14,,ELEC,Public,186654,2021-03-28,,E,,L.A. LIVE EV CH UNIT 3,888-758-4389,2023-05-14T00:05:14Z,,GPS,34.044914,-118.26859,Los Angeles,,,CA,1005 Chick Hearn Ct,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL121035'], 'posts': ['11271011', '11271021']}"
52,public,24 hours daily,,,2023-05-14,,ELEC,Public,199278,2021-10-28,,E,,HOSPITAL CHMC PARKING 2F,888-758-4389,2023-05-14T00:05:57Z,,GPS,34.038144,-118.266563,Los Angeles,,,CA,1347 S Hope St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL128461'], 'posts': ['8973621', '8973631']}"
53,public,24 hours daily,,,2023-05-14,,ELEC,Public,199279,2021-10-28,,E,,HOSPITAL CHMC PARKING 1F,888-758-4389,2023-05-14T00:05:57Z,,GPS,34.038285,-118.266705,Los Angeles,,,CA,1355 S Hope St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL128467'], 'posts': ['21578831', '21578841']}"
54,public,24 hours daily,,,2023-05-14,,ELEC,Public,199281,2021-10-28,,E,,HOSPITAL CHMC_LAWHC,888-758-4389,2023-05-14T00:05:59Z,,GPS,34.036497,-118.266546,Los Angeles,,,CA,1505 S Grand Ave,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL128917'], 'posts': ['1064701', '1064711']}"
55,public,24 hours daily,,,2023-05-14,2023-01-28,ELEC,TEMPORARILY UNAVAILABLE (Public),213533,2022-04-07,,T,,SOUTHPARK STATION 3,888-758-4389,2023-05-14T00:26:51Z,,GPS,34.042534,-118.25825,Los Angeles,,,CA,931 S Hill St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,"{'station': ['USCPIL9241891'], 'posts': ['16326651', '16326661']}"
