,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
25,public,24 hours daily,,,2023-05-14,,ELEC,Public,178193,2021-01-27,,E,,BROOKFIELD WEST 601 S FIG EV2,888-758-4389,2023-05-14T00:04:40Z,,GPS,34.050621,-118.259438,Los Angeles,,,CA,601 S Figueroa St,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL117271'], 'posts': ['148455']}",
26,public,24 hours daily,,,2023-05-14,2023-05-02,ELEC,TEMPORARILY UNAVAILABLE (Public),178194,2021-01-27,,T,,BROOKFIELD WEST 601 S FIG EV7-8,888-758-4389,2023-05-14T00:04:31Z,,GPS,34.050989,-118.259133,Los Angeles,,,CA,601 S. Figueroa St,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL116317'], 'posts': ['146361', '146363']}",
27,public,24 hours daily,,,2023-05-14,2023-05-02,ELEC,TEMPORARILY UNAVAILABLE (Public),178195,2021-01-27,,T,,BROOKFIELD WEST 601 S FIG EV5-6,888-758-4389,2023-05-14T00:03:59Z,,GPS,34.051011,-118.259115,Los Angeles,,,CA,601 S. Figueroa St.,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL112569'], 'posts': ['139117', '139119']}",
28,public,24 hours daily,,,2023-05-14,,ELEC,Public,178196,2021-01-27,,E,,BROOKFIELD WEST 601 S FIG EV3,888-758-4389,2023-05-14T00:02:27Z,,GPS,34.050627,-118.259424,Los Angeles,,,CA,601 S Figueroa St,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL88477'], 'posts': ['95605', '95607']}",
29,public,24 hours daily,,,2023-05-14,,ELEC,Public,178324,2021-01-27,,E,,WGC EVCS STATION 02,888-758-4389,2023-05-14T00:08:34Z,,GPS,34.050771,-118.260511,Los Angeles,,,CA,978-992 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL184709'], 'posts': ['249127']}",
30,public,24 hours daily,,,2023-05-14,,ELEC,Public,178349,2021-01-27,,E,,SEIU LOCAL 721 STATION 02,888-758-4389,2023-05-14T00:08:11Z,,GPS,34.055449,-118.269579,Los Angeles,,,CA,1545 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL178353'], 'posts': ['239909']}",
31,public,24 hours daily,,,2023-05-14,,ELEC,Public,178392,2021-01-27,,E,,10557TH STATION 2,888-758-4389,2023-05-14T00:08:11Z,,GPS,34.050829,-118.26304,Los Angeles,,,CA,1055 W 7th St,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL178271'], 'posts': ['239715', '239717']}",
32,public,24 hours daily,,,2023-05-14,,ELEC,Public,179496,2021-01-27,,E,,BROOKFIELD OFC LVL 7 SEC C 3-4,888-758-4389,2023-05-14T00:03:24Z,,GPS,34.098525,-118.247262,Los Angeles,,,CA,945 W. 8th Street,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL104927'], 'posts': ['9060301', '9060311']}",
33,public,24 hours daily,,,2023-05-14,,ELEC,Public,194640,2021-08-28,,E,,SHORENSTEIN 707 EV2,888-758-4389,2023-05-14T00:26:55Z,,GPS,34.049598,-118.256885,Los Angeles,,,CA,707 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL9353331'], 'posts': ['16542601', '16542611']}",
34,public,24 hours daily,,,2023-05-14,,ELEC,Public,196424,2021-09-28,,E,,801 TOWER STATION 1,888-758-4389,2023-05-14T00:07:30Z,,GPS,34.047884,-118.262069,Los Angeles,,,CA,801 S Figueroa St,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL162273'], 'posts': ['855581', '855591']}",
35,public,24 hours daily,,,2023-05-14,,ELEC,Public,196425,2021-09-28,,E,,801 TOWER STATION 2,888-758-4389,2023-05-14T00:07:42Z,,GPS,34.047867,-118.262065,Los Angeles,,,CA,801 S Figueroa St,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL164969'], 'posts': ['220937', '220939']}",
36,private,24 hours daily,GOVERNMENT,,2021-10-12,,ELEC,Private - Government only,196724,2021-09-21,FG,E,,SPD,,2022-02-10T19:42:29Z,FED_GOV,GPS,34.051006,-118.260108,Los Angeles,,,CA,915 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,,"{'id': 2, 'code': 'USACE_CW', 'name': 'Corps of Engineers, Civil Works'}"
37,public,,,,2023-05-14,,ELEC,Public,234463,2022-09-17,,E,,1000 Wilshire,800-663-5633,2023-05-14T00:01:46Z,,GPS,34.050471,-118.26131,Los Angeles,,,CA,1000 Wilshire Blvd Suite 550,90017,US,,,,,,,,,,,,['J1772'],,,4.0,SemaCharge Network,https://semaconnect.com/,,$1.00-$3.00/Hr Variable Parking Fee,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['6534'], 'posts': ['20910', '21096', '21102', '21103']}",
38,public,,,,2023-05-14,,ELEC,Public,241188,2023-01-06,,E,,United Valet Parking,888-998-2546,2023-05-14T00:00:29Z,,GPS,34.046751,-118.260755,Los Angeles,,,CA,833 S Flower St,90017,US,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['465ba1dd-d734-8158-93cc-330000503144'], 'posts': ['465ba1dd-d734-8158-93cc-330000747942', 'e07a416a-1643-49f2-ad75-b57be099a2b9']}",
39,public,,,,2023-05-13,,ELEC,Public,257470,2023-03-30,,E,,Bixel & 6th,888-998-2546,2023-05-13T23:58:31Z,,GPS,34.054291,-118.261875,Los Angeles,,,CA,571 S. Bixel Street,90017,US,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['465ba1dd-d734-8158-93cc-330000538789'], 'posts': ['37dc690a-eacf-47b3-828c-34c37f57614d']}",
40,public,24 hours daily,,,2023-05-14,,ELEC,Public,260015,2023-04-28,,E,,MET1 STATION 5,888-758-4389,2023-05-14T00:11:38Z,,GPS,34.047765,-118.264713,Los Angeles,,,CA,889 Francisco St,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL494181'], 'posts': ['23026261', '23026271']}",
