,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
10,private,Permitted employee parking only,,,2022-08-10,,ELEC,Private,63054,2014-08-01,LG,E,,Los Angeles County Sheriff - Twin Towers Detention Facility,,2023-02-14T15:54:11Z,PRISON,GPS,34.05870228508828,-118.2303810760574,Los Angeles,,,CA,450 E Bauchet,90012,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
11,public,24 hours daily; pay lot,,,2022-01-10,,ELEC,Public,63169,2014-02-01,P,E,False,Los Angeles Metro - Union Station,213-922-4638,2022-03-25T17:32:12Z,PARKING_LOT,200-8,34.056077,-118.232293,Los Angeles,Located on P2 level (area D) of the parking structure,,CA,801 N Vignes St,90012,US,,,,,,,,,,,,['J1772'],,,10.0,Non-Networked,,,$1 per hour; Maximum payment of $3,,,,,,,,,,,,,,,,,,,,,,Public,,,
12,private,Fleet use only,,,2022-08-10,,ELEC,Private,63472,2016-03-15,P,E,,Los Angeles State Historic Park,,2023-02-15T22:45:41Z,PARK,200-8,34.070849,-118.226589,Los Angeles,,,CA,1799 Baker St,90012,US,,,,,,,,,,,,['J1772'],,,5.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
13,private,Employee and state vehicle use only,,,2022-01-10,,ELEC,Private,71905,2015-11-01,SG,E,,Caltrans - District 32,,2022-02-10T19:42:29Z,STATE_GOV,200-8,34.052238,-118.243344,Los Angeles,,,CA,100 S Main St,90012,US,,,,,,,,,,,,['J1772'],,,8.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
14,public,24 hours daily,,,2022-08-10,,ELEC,Public,78834,1999-10-15,LG,E,False,LADWP - Crenshaw,800-342-5397,2023-02-14T15:54:11Z,UTILITY,GPS,34.01223,-118.334323,Los Angeles,,,CA,4030 Crenshaw Blvd,90012,US,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,16.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
15,private,LAPD fleet use only,,,2022-01-10,,ELEC,Private,81130,2016-10-15,LG,E,,Los Angeles Police Department - Main Street Parking,,2023-05-12T15:00:20Z,MUNI_GOV,GPS,34.0497723610577,-118.245105779098,Los Angeles,Main between 2nd and 3rd,,CA,260 S Main St,90012,US,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",4.0,,100.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
16,public,24 hours daily,,,2023-05-14,,ELEC,Public,99212,2018-06-14,,E,,126 N Beaudry Ave,855-900-7584,2023-05-14T00:39:06Z,,GPS,34.059941,-118.253619,Los Angeles,,,CA,126 N Beaurdy Ave,90012,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['747'], 'posts': ['12584']}",
17,public,24 hours daily,,,2023-05-14,,ELEC,Public,99236,2018-06-14,,E,,757 China Town,855-900-7584,2023-05-14T00:39:06Z,,200-9,34.064254,-118.236637,Los Angeles,,,CA,900 N Broadway Ave,90012,US,,,,,,,,,,,,['J1772'],,,10.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['828'], 'posts': ['122327', '122328', '122329', '122330', '122331', '122332', '122333', '122334', '122335', '122336']}",
18,public,24 hours daily,,,2023-05-14,,ELEC,Public,99261,2018-06-14,,E,,763 Aiso,855-900-7584,2023-05-14T00:39:08Z,,GPS,34.051326,-118.241043,Los Angeles,,,CA,101 Judge John,90012,US,,,,,,,,,,,,['J1772'],,,6.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['868'], 'posts': ['122051', '122052', '122053', '122054', '122055', '122056']}",
19,private,Los Angeles County BOS only,,,2022-08-10,,ELEC,Private,102577,2017-01-25,LG,E,,Los Angeles County - Hall of Administration Board of Supervisors,,2023-02-14T15:54:11Z,MUNI_GOV,GPS,34.0565004,-118.2481775,Los Angeles,,,CA,140 N Grand Ave,90012,US,,,,,,,,,,,,['J1772'],,,10.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Privé,,,
20,private,"Permitted employee parking only Upper Level; keypad activated, instructions on EVSE",,,2022-08-10,,ELEC,Private,102578,2018-08-04,LG,E,,Los Angeles County - Hall of Administration Upper Level,,2023-02-14T15:54:11Z,PARKING_GARAGE,GPS,34.0565004,-118.2481775,Los Angeles,"Located in Internal Services Department  Lot 18, upper level",,CA,140 N Grand Ave,90012,US,,,,,,,,,,,,['J1772'],,,10.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Privé,,,
21,public,24 hours daily,,,2023-01-10,,ELEC,Public,103781,2018-09-01,T,E,False,LADWP - Solano Avenue,800-342-5397,2023-02-14T15:54:11Z,UTILITY,GPS,34.071508,-118.230314,Los Angeles,,,CA,417 Solano Ave,90012,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
22,public,,,,2022-10-06,,ELEC,Public,113081,2016-09-19,P,E,,Doubletree by Hilton Los Angeles Downtown - Tesla Destination,213-629-1200  877-798-3752,2023-01-18T15:15:20Z,HOTEL,200-9,34.050528,-118.242649,Los Angeles,,,CA,120 S Los Angeles St,90012,US,,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['500306']},
23,private,,,,2022-01-10,,ELEC,Private,123240,2019-04-01,P,E,,Los Angeles Metro - Division 13 Bus Maintenance and Operations,,2022-02-10T19:42:29Z,FLEET_GARAGE,GPS,34.0573958,-118.2308693,Los Angeles,,,CA,920 N Vignes St,90012,US,,,,,,,,,,,,['J1772'],,,5.0,EVGATEWAY,http://evgateway.com/,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
24,public,24 hours daily,,,2023-05-14,,ELEC,Public,125757,2019-07-02,,E,,City Hall East P1,855-900-7584,2023-05-14T00:38:08Z,,200-9,34.053051,-118.241806,Los Angeles,,,CA,201 N Los Angeles St,90012,US,,,,,,,,,,,,['J1772'],,,11.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1441'], 'posts': ['12038A', '12039A', '12040A', '12041A', '12042A', '12043A', '12044A', '12045A', '12046A', '12047A', '12048A']}",
25,public,24 hours daily,,,2023-01-10,,ELEC,Public,152069,2016-01-01,LG,E,False,LADWP - John Ferraro Building,,2023-02-15T22:45:41Z,UTILITY,GPS,34.059133,-118.248589,Los Angeles,Across Hope,,CA,111 N Hope St,90012,US,,,,,,,,,,,,['J1772'],,,24.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
26,private,Fleet use only,,,2023-01-10,,ELEC,Private,152075,2019-04-01,LG,E,,LADWP - Materials Test Lab,,2023-02-15T22:45:41Z,MUNI_GOV,200-9,34.04684,-118.237458,Los Angeles,,,CA,510 E 2nd St,90012,US,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,31.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
27,public,24 hours daily,,,2023-01-10,,ELEC,Public,152125,2018-11-07,LG,E,False,LADWP - Alpine,800-342-5397,2023-02-14T15:54:11Z,UTILITY,GPS,34.063402,-118.241234,Los Angeles,,,CA,611 Alpine St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
28,public,24 hours daily,,,2023-05-14,,ELEC,Public,152921,2020-01-23,,E,,609 W Alpine St,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.06336965,-118.241175,Los Angeles,,,CA,609 W Alpine St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10215']},
29,public,24 hours daily,,,2023-05-14,,ELEC,Public,152941,2020-01-23,,E,,729 N North Spring St,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.06047003,-118.23768996,Los Angeles,,,CA,729 N Spring St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10261']},
30,public,24 hours daily,,,2023-05-14,,ELEC,Public,152946,2020-01-23,,E,,651 W 1st,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.056143,-118.249264,Los Angeles,,,CA,651 W 1st,90012,US,,,,,,,,,,,,['J1772'],,,1.0,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10274']},
31,public,24 hours daily,,,2023-05-14,,ELEC,Public,152969,2020-01-23,,E,,1516 N North Spring St,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.06786956,-118.2305626,Los Angeles,,,CA,1516 N North Spring St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10246']},
32,public,24 hours daily,,,2023-05-14,,ELEC,Public,153164,2020-01-30,,E,,LADWP John Ferraro Building,855-900-7584,2023-05-14T00:38:05Z,,GPS,34.058953,-118.249006,Los Angeles,,,CA,111 N. Hope St,90012,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1113'], 'posts': ['153078']}",
33,public,24 hours daily,,,2023-05-14,,ELEC,Public,154460,2020-03-13,,E,,923 E 3rd St,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.04605713,-118.2339751,Los Angeles,,,CA,923 E 3rd St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10332']},
34,public,24 hours daily,,,2023-05-14,,ELEC,Public,159116,2020-06-12,,E,,ONNI SQUARE STATION 2,888-758-4389,2023-05-14T00:14:52Z,,GPS,34.052609,-118.24581,Los Angeles,,,CA,221 W 2ND ST,90012,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL822511'], 'posts': ['1092371', '1092381']}",
35,public,24 hours daily,,,2023-05-14,,ELEC,Public,160088,2020-06-12,,E,,LACC EV STATION CHINATOWN LOT,888-758-4389,2023-05-14T00:08:06Z,,GPS,34.064721,-118.237896,Los Angeles,,,CA,419 W College Street,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL177795'], 'posts': ['239121']}",
36,public,24 hours daily,,,2023-05-14,,ELEC,Public,160207,2020-06-12,,E,,AVA LITTLE TOKYO 1,888-758-4389,2023-05-14T00:07:30Z,,GPS,34.04939,-118.243445,Los Angeles,,,CA,236 S Los Angeles St,90012,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL162373'], 'posts': ['20684981', '20684991']}",
37,public,24 hours daily,,,2023-05-14,,ELEC,Public,160255,2020-06-12,,E,,ESSEX BUNKER HILL,888-758-4389,2023-05-14T00:07:19Z,,GPS,34.055528,-118.253645,Los Angeles,,,CA,234 S Figueroa St,90012,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL158189'], 'posts': ['5313921', '5313931']}",
38,public,24 hours daily,,,2023-05-14,,ELEC,Public,160736,2020-06-12,,E,,BROOKFIELD WEST WFC HILL ST 01,888-758-4389,2023-05-14T00:04:59Z,,GPS,34.05267,-118.248528,Los Angeles,,,CA,235 S Hill St,90012,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL119339'], 'posts': ['152239', '152241']}",
39,public,24 hours daily,,,2023-05-14,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),161246,2020-06-12,,T,,PROM TOWERS PROM TOWERS 02,888-758-4389,2023-05-14T00:02:24Z,,GPS,34.057353,-118.253932,Los Angeles,,,CA,123 S Figueroa St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL83523'], 'posts': ['89215']}",
40,public,24 hours daily,,,2023-05-14,,ELEC,Public,164366,2020-07-18,,E,,282 S Hill St,855-900-7584,2023-05-14T00:39:04Z,,GPS,34.052198,-118.248472,Los Angeles,,,CA,282 S Hill St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['437'], 'posts': ['12540A']}",
41,private,,,,2023-01-10,,ELEC,Private,165531,2016-01-01,T,E,,LADWP - Temple St,,2023-02-15T22:45:41Z,OFFICE_BLDG,200-8,34.052494,-118.23696,Los Angeles,,,CA,444 E Ducommun St,90012,US,,,,,,,,,,,,['J1772'],,,20.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
42,public,24 hours daily,,,2023-05-14,,ELEC,Public,166874,2020-09-16,,E,,LA PLAZA CVS UPSTAIRS1,888-758-4389,2023-05-14T00:21:16Z,,GPS,34.058224,-118.24101,Los Angeles,,,CA,555 N Broadway,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5367281'], 'posts': ['8954451']}",
43,public,24 hours daily,,,2023-05-14,,ELEC,Public,166948,2020-09-19,,E,,LA PLAZA PUBLIC STATION2,888-758-4389,2023-05-14T00:21:43Z,,GPS,34.057727,-118.241107,Los Angeles,,,CA,555 N Spring St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5402291'], 'posts': ['8999721']}",
44,public,24 hours daily,,,2023-05-14,,ELEC,Public,167522,2020-10-14,,E,,631 W 1st St,855-900-7584,2023-05-14T00:38:06Z,,GPS,34.055817,-118.249152,Los Angeles,,,CA,631 W 1st St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1248'], 'posts': ['12950']}",
45,public,24 hours daily,,,2023-05-14,,ELEC,Public,170207,2020-12-16,,E,,BOA LA Chinatown CA9-167,833-632-2778,2023-05-14T00:40:31Z,,GPS,34.06331,-118.23718,Los Angeles,,,CA,850 N Broadway,90012,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",3.0,,,Electrify America,https://www.electrifyamerica.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['200070'], 'posts': ['200070-01', '200070-02', '200070-03']}",
46,public,24 hours daily,,,2023-05-14,,ELEC,Public,170769,2021-01-05,,E,,City Hall East P2,855-900-7584,2023-05-14T00:38:08Z,,200-9,34.053051,-118.241806,Los Angeles,,,CA,201 N Los Angeles St,90012,US,,,,,,,,,,,,['J1772'],,,27.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1442'], 'posts': ['12000A', '12001A', '12002A', '12003A', '12004A', '12005A', '12006A', '12007A', '12008A', '12009A', '12010A', '12011A', '12012A', '12013A', '12014A', '12988', '12989', '12990', '12991', '12992', '12993', '12994', '12995', '12996', '12997', '12998', '12999']}",
47,public,24 hours daily,,,2023-05-14,,ELEC,Public,170770,2021-01-05,,E,,City Hall East P3,855-900-7584,2023-05-14T00:38:09Z,,200-9,34.053051,-118.241806,Los Angeles,,,CA,201 N Los Angeles St,90012,US,,,,,,,,,,,,['J1772'],,,18.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1443'], 'posts': ['12856', '12857', '12858', '12859', '12860', '12861', '12862', '12863', '12864', '12865', '12866', '12867', '12868', '12869', '12870', '12871', '12872', '12873']}",
48,public,24 hours daily,,,2023-05-14,,ELEC,Public,170771,2021-01-05,,E,,City Hall East P4,855-900-7584,2023-05-14T00:38:09Z,,200-9,34.053051,-118.241806,Los Angeles,,,CA,201 N Los Angeles St,90012,US,,,,,,,,,,,,['J1772'],,,23.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1444'], 'posts': ['12874', '12875', '12876', '12877', '12878', '12879', '12880', '12881', '12882', '12883', '12884', '12885', '12886', '12887', '12888', '12889', '12890', '12891', '12892', '12893', '12894', '12895', '12896']}",
49,public,24 hours daily,,,2023-05-14,,ELEC,Public,176618,2021-01-27,,E,,ONNI SQUARE STATION 1,888-758-4389,2023-05-14T00:14:52Z,,GPS,34.052256,-118.245947,Los Angeles,,,CA,221 W 2ND ST,90012,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL822501'], 'posts': ['1092351', '1092361']}",
50,public,24 hours daily,,,2023-05-14,,ELEC,Public,179325,2021-01-27,,E,,BROOKFIELD WEST WFC HILL ST 02,888-758-4389,2023-05-14T00:04:57Z,,GPS,34.052633,-118.248562,Los Angeles,,,CA,235 S Hill St,90012,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL118935'], 'posts': ['151565', '151567']}",
51,public,24 hours daily,,,2023-05-14,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),179652,2021-01-27,,T,,PROM TOWERS PROM TOWERS 01,888-758-4389,2023-05-14T00:02:24Z,,GPS,34.05738,-118.253983,Los Angeles,,,CA,123 S Figueroa St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL71643'], 'posts': ['231437']}",
52,public,24 hours daily,,,2023-05-14,,ELEC,Public,181255,2021-01-27,,E,,LA PLAZA CVS UPSTAIRS3,888-758-4389,2023-05-14T00:21:16Z,,GPS,34.058197,-118.241256,Los Angeles,,,CA,555 N Broadway,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5367251'], 'posts': ['8954401']}",
53,public,24 hours daily,,,2023-05-14,,ELEC,Public,181256,2021-01-27,,E,,LA PLAZA CVS PK STATION1,888-758-4389,2023-05-14T00:21:14Z,,GPS,34.058224,-118.241085,Los Angeles,,,CA,555 N Broadway,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5363681'], 'posts': ['8949971']}",
54,public,24 hours daily,,,2023-05-14,,ELEC,Public,181257,2021-01-27,,E,,LA PLAZA CVS PK STATION3,888-758-4389,2023-05-14T00:21:14Z,,GPS,34.058215,-118.241203,Los Angeles,,,CA,555 N Broadway,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5363581'], 'posts': ['8949861']}",
55,public,24 hours daily,,,2023-05-14,,ELEC,Public,181258,2021-01-27,,E,,LA PLAZA CVS PK STATION2,888-758-4389,2023-05-14T00:21:01Z,,GPS,34.058197,-118.241128,Los Angeles,,,CA,555 N Broadway,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5351141'], 'posts': ['8932901']}",
56,public,24 hours daily,,,2023-05-14,,ELEC,Public,181259,2021-01-27,,E,,LA PLAZA CVS PK STATION4,888-758-4389,2023-05-14T00:21:43Z,,GPS,34.058224,-118.241095,Los Angeles,,,CA,555 N Broadway,90012,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5402051'], 'posts': ['8999391']}",
